種類,,icon,名前,継承元,URL,使いそう度,使いそう度,❓よく知らない,一言で,概要、こういうときに使う,翻訳から編集したかどうか,en,概要ja,2D　のゲームで使うかも,3D　のゲームで使うかも,VR,UI,Data,Image,Audio,Physic,Anim,Shader,Editor,Base
Type,,Color,Color,なし,📑,⭐⭐⭐⭐⭐,5,,,RGBA形式のカラービルトインタイプ。,,Color built-in type、 in RGBA format.,Colorビルトインタイプ、RGBA形式。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Control,,ColorPicker,ColorPicker,VBoxContainer                < BoxContainer < Container < Control < CanvasItem < Node,📑,⭐⭐,2,,色ピッカー,カラーピッカーコントロール。,,Color picker control.,カラーピッカーコントロール。,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Control,,ColorPickerButton,ColorPickerButton,Button                < BaseButton < Control < CanvasItem < Node < Object,📑,⭐⭐,2,,色ピッカー,[ColorPicker]を表示するボタン。,済,Button that pops out a [ColorPicker].,[ColorPicker]を飛び出すボタン。,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Control,,ColorRect,ColorRect,Control                < CanvasItem < Node < Object,📑,⭐⭐⭐,3,,色だけの矩形,色のみのコントロール。,済,Colored rectangle.,色付きの長方形。,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,CompressedCubemap,CompressedTextureLayered                < TextureLayered < Texture < Resource < RefCounted < Object,📑,⭐,1,,,通常、3Dレンダリングで使用される6側のテクスチャ、オプションで圧縮されます。,,6-sided texture typically used in 3D rendering、 optionally compressed.,通常、3Dレンダリングで使用される6側のテクスチャーoptionalで圧縮されます。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,CompressedCubemapArray,CompressedTextureLayered                < TextureLayered < Texture < Resource < RefCounted < Object,📑,⭐,1,,,通常、3Dレンダリングで使用される6側のテクスチャの配列、オプションで圧縮されます。,,Array of 6-sided textures typically used in 3D rendering、 optionally compressed.,通常、3Dレンダリングで使用される6側のテクスチャの配列、オプションで圧縮されます。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CompressedTexture2D,CompressedTexture2D,Texture2D                < Texture < Resource < RefCounted < Object,📑,⭐⭐⭐,3,,,オプションで圧縮された2つの寸法のテクスチャー。,,Texture with 2 dimensions、 optionally compressed.,2つの寸法のテクスチャーoptionalオプションで圧縮されます。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,CompressedTexture2DArray,CompressedTextureLayered                < TextureLayered < Texture < Resource < RefCounted < Object,📑,⭐,1,,,オプションで圧縮された2次元テクスチャの配列。,,Array of 2-dimensional textures、 optionally compressed.,2次元テクスチャの配列optionalオプションで圧縮されました。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,CompressedTexture3D,Texture3D                < Texture < Resource < RefCounted < Object,📑,⭐,1,,,オプションで圧縮された3つの寸法のテクスチャー。,,Texture with 3 dimensions、 optionally compressed.,3つの寸法のテクスチャoptionalオプションで圧縮されます。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,CompressedTextureLayered,TextureLayered                < Texture < Resource < RefCounted < Object,📑,⭐,1,,,オプションで圧縮できるテクスチャアレイのベースクラス。,,Base class for texture arrays that can optionally be compressed.,オプションで圧縮できるテクスチャアレイのベースクラス。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,ConcavePolygonShape2D,ConcavePolygonShape2D,Shape2D                < Resource < RefCounted < Object,📑,⭐⭐,2,,,2D物理学のための凹面ポリゴン形状リソース。,,Concave polygon shape resource for 2D physics.,2D物理学のための凹面ポリゴン形状リソース。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,ConcavePolygonShape3D,ConcavePolygonShape3D,Shape3D                < Resource < RefCounted < Object,📑,⭐⭐,2,,,3D物理学の凹面ポリゴン形状リソース（「Trimesh」とも呼ばれます）。,,"Concave polygon shape resource (also called ""trimesh"") for 3D physics.",3D物理学の凹面ポリゴン形状リソース（「Trimesh」とも呼ばれます）。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,ConeTwistJoint3D,ConeTwistJoint3D,Joint3D                < Node3D < Node < Object,📑,⭐⭐,2,❓,,2つの3D物理ボディ間のツイストジョイント。,,A twist joint between two 3D PhysicsBodies.,2つの3D物理ボディ間のツイストジョイント。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,ConfigFile,RefCounted                < Object,📑,⭐⭐,2,,,INIスタイルのファイルを処理するヘルパークラス。,,Helper class to handle INI-style files.,INIスタイルのファイルを処理するヘルパークラス。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node,,ConfirmationDialog,ConfirmationDialog,AcceptDialog                < Window < Viewport < Node < Object,📑,⭐⭐⭐,3,,OKCancelダイアログ,アクションの確認のためのダイアログ。,,Dialog for confirmation of actions.,アクションの確認のためのダイアログ。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Control,,Container,Container,Control                < CanvasItem < Node < Object,📑,,0,,コンテナのベース,コンテナ用のベースノード。,,Base node for containers.,コンテナ用のベースノード。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Control,,Control,Control,CanvasItem                < Node < Object,📑,⭐⭐⭐⭐⭐,5,,UIのベース、使う,すべてのUIノードは、コントロールから継承される。アンカーとオフセット,済,All user interface nodes inherit from Control. A control's anchors and offsets adapt its position and size relative to its parent.,すべてのユーザーインターフェイスノードは、コントロールから継承されます。コントロールのアンカーとオフセットは、親に比べてその位置とサイズを適合させます。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,ConvexPolygonShape2D,ConvexPolygonShape2D,Shape2D                < Resource < RefCounted < Object,📑,⭐⭐,2,,,2D物理学の凸型ポリゴン形状リソース。,,Convex polygon shape resource for 2D physics.,2D物理学の凸型ポリゴン形状リソース。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,ConvexPolygonShape3D,ConvexPolygonShape3D,Shape3D                < Resource < RefCounted < Object,📑,⭐⭐,2,,,3D物理学の凸型ポリゴン形状リソース。,,Convex polygon shape resource for 3D physics.,3D物理学の凸型ポリゴン形状リソース。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node2D,,CPUParticles2D,CPUParticles2D,Node2D                < CanvasItem < Node < Object,📑,⭐⭐⭐,3,,2Dパーティクル,CPUベースの2D粒子エミッター。GPUのほうが良いみたい？こっちはモバイル向けかな？,済,CPU-based 2D particle emitter.,CPUベースの2D粒子エミッター。,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Node3D,,CPUParticles3D,CPUParticles3D,GeometryInstance3D                < VisualInstance3D < Node3D < Node < Object,📑,⭐⭐⭐,3,,3Dパーティクル,CPUベースの3D粒子エミッター。GPUのほうが良いみたい？こっちはモバイル向けかな？,済,CPU-based 3D particle emitter.,CPUベースの3D粒子エミッター。,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OtherObject,,Object,Crypto,RefCounted                < Object,📑,⭐⭐,2,,,高度な暗号化機能へのアクセス。,,Access to advanced cryptographic functionalities.,高度な暗号化機能へのアクセス。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CryptoKey,CryptoKey,Resource                < RefCounted < Object,📑,⭐⭐,2,,,暗号化キー（RSA）。,,A cryptographic key (RSA).,暗号化キー（RSA）。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGBox3D,CSGBox3D,なし,📑,⭐⭐,2,,3Dプリミティブ,CSGボックスの形状。,,A CSG Box shape.,CSGボックスの形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGCombiner3D,CSGCombiner3D,なし,📑,⭐⭐,2,,3Dプリミティブ,他のCSG修飾子を組み合わせることができるCSGノード。,,A CSG node that allows you to combine other CSG modifiers.,他のCSG修飾子を組み合わせることができるCSGノード。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGCylinder3D,CSGCylinder3D,なし,📑,⭐⭐,2,,3Dプリミティブ,CSGシリンダー形状。,,A CSG Cylinder shape.,CSGシリンダー形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGMesh3D,CSGMesh3D,なし,📑,⭐⭐,2,,3Dプリミティブ,メッシュリソースを使用するCSGメッシュ形状。,,A CSG Mesh shape that uses a mesh resource.,メッシュリソースを使用するCSGメッシュ形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGPolygon3D,CSGPolygon3D,なし,📑,⭐⭐,2,,3Dプリミティブ,2Dポリゴン形状を押し出して3Dメッシュを作成します。,,Extrudes a 2D polygon shape to create a 3D mesh.,2Dポリゴン形状を押し出して3Dメッシュを作成します。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGPrimitive3D,CSGPrimitive3D,なし,📑,,0,,3Dプリミティブ,CSGプリミティブの基本クラス。,,Base class for CSG primitives.,CSGプリミティブの基本クラス。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Node3D,,CSGShape3D,CSGShape3D,なし,📑,,0,,3Dプリミティブ,CSGベースクラス。,,The CSG base class.,CSGベースクラス。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Node3D,,CSGSphere3D,CSGSphere3D,なし,📑,⭐⭐,2,,3Dプリミティブ,CSG球の形状。,,A CSG Sphere shape.,CSG球の形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node3D,,CSGTorus3D,CSGTorus3D,なし,📑,⭐⭐,2,,3Dプリミティブ,CSGトーラス形状。,,A CSG Torus shape.,CSGトーラス形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CSharpScript,CSharpScript,なし,📑,⭐⭐,2,,,C＃プログラミング言語で実装されたスクリプト（Mono対応のみがビルドのみ）。,,A script implemented in the C# programming language (Mono-enabled builds only).,C＃プログラミング言語で実装されたスクリプト（Mono対応のみがビルドのみ）。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Cubemap,Cubemap,ImageTextureLayered                < TextureLayered < Texture < Resource < RefCounted < Object,📑,⭐⭐,2,,,通常、3Dレンダリングで使用される6側のテクスチャー。,,6-sided texture typically used in 3D rendering.,通常、3Dレンダリングで使用される6側のテクスチャー。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CubemapArray,CubemapArray,ImageTextureLayered                < TextureLayered < Texture < Resource < RefCounted < Object,📑,⭐⭐,2,,,複数の[cubemap] sで構成される単一の複合テクスチャリソース。,,A single composite texture resource which consists of multiple [Cubemap]s.,複数の[cubemap] sで構成される単一の複合テクスチャリソース。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Curve,Curve,Resource                < RefCounted < Object,📑,⭐⭐,2,,,数学曲線。,,A mathematic curve.,数学曲線。,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Curve2D,Curve2D,Resource                < RefCounted < Object,📑,⭐⭐,2,,,2Dスペースのベジエ曲線について説明します。,,Describes a Bézier curve in 2D space.,2Dスペースのベジエ曲線について説明します。,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Curve3D,Curve3D,Resource                < RefCounted < Object,📑,⭐⭐,2,,,3Dスペースのベジエ曲線について説明します。,,Describes a Bézier curve in 3D space.,3Dスペースのベジエ曲線について説明します。,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CurveTexture,CurveTexture,Texture2D                < Texture < Resource < RefCounted < Object,📑,⭐,1,,,曲線を示すテクスチャ。,,A texture that shows a curve.,曲線を示すテクスチャ。,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CurveXYZTexture,CurveXYZTexture,Texture2D                < Texture < Resource < RefCounted < Object,📑,⭐,1,❓,,3つの異なる曲線を示すテクスチャ（赤、緑、青のチャンネルに保存されています）。,,A texture that shows 3 different curves (stored on the red、 green and blue color channels).,3つの異なる曲線を示すテクスチャ（赤の緑色と青色のチャネルに保存されています）。,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CylinderMesh,CylinderMesh,PrimitiveMesh                < Mesh < Resource < RefCounted < Object,📑,⭐⭐,2,,,円筒形[Primitivemesh]を表すクラス。,,Class representing a cylindrical [PrimitiveMesh].,円筒形[Primitivemesh]を表すクラス。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,CylinderShape3D,CylinderShape3D,Shape3D                < Resource < RefCounted < Object,📑,⭐⭐,2,,,3D衝突のシリンダー形状。,,Cylinder shape for 3D collisions.,3D衝突のシリンダー形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node2D,,DampedSpringJoint2D,DampedSpringJoint2D,Joint2D                < Node2D < CanvasItem < Node < Object,📑,⭐,1,❓,ばね物理,2D物理学のための減衰スプリング制約。,,Damped spring constraint for 2D physics.,2D物理学のための減衰スプリング制約。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Node3D,,Decal,Decal,VisualInstance3D                < Node3D < Node < Object,📑,⭐⭐⭐⭐,4,,デカール！シール！,テクスチャを[meshinstance3d]に投影するノード。,,Node that projects a texture onto a [MeshInstance3D].,テクスチャを[meshinstance3d]に投影するノード。,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Type,,Dictionary,Dictionary,なし,📑,⭐⭐⭐⭐⭐,5,,,辞書タイプ。,,Dictionary type.,辞書タイプ。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,DirAccess,RefCounted                < Object,📑,⭐⭐⭐⭐⭐,5,,,ファイルシステムを処理するために使用されるタイプ。,,Type used to handle the filesystem.,ファイルシステムを処理するために使用されるタイプ。,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node2D,,DirectionalLight2D,DirectionalLight2D,Light2D                < Node2D < CanvasItem < Node < Object,📑,⭐⭐⭐,3,,ライト,向きがある無限2Dライト。,済,Directional 2D light from a distance.,遠くからの方向性2Dライト。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Node3D,,DirectionalLight3D,DirectionalLight3D,Light3D                < VisualInstance3D < Node3D < Node < Object,📑,⭐⭐⭐⭐⭐,5,,ライト,向きがある無限3Dライト。,済,Directional light from a distance、 as from the Sun.,距離からの方向性光は、太陽からのように。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OtherObject,,Object,DisplayServer,Object,📑,⭐⭐⭐,3,,,ウィンドウ管理機能のシングルトン。,,Singleton for window management functions.,ウィンドウ管理機能のシングルトン。,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OtherObject,,Object,DTLSServer,RefCounted                < Object,📑,⭐,1,❓,,DTLSサーバーを実装するヘルパークラス。,,Helper class to implement a DTLS server.,DTLSサーバーを実装するヘルパークラス。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Node,,Object,EditorCommandPalette,ConfirmationDialog                < AcceptDialog < Window < Viewport < Node < Object,📑,⭐,1,,F1で出るやつカスタム,Godot編集者のコマンドパレット。,,Godot editor's command palette.,Godot編集者のコマンドパレット。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorDebuggerPlugin,RefCounted                < Object,📑,⭐,1,,,デバッガープラグインを実装するためのベースクラス。,,A base class to implement debugger plugins.,デバッガープラグインを実装するためのベースクラス。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorDebuggerSession,RefCounted                < Object,📑,⭐,1,,,エディターデバッガーと対話するクラス。,,A class to interact with the editor debugger.,エディターデバッガーと対話するクラス。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorExportPlatform,RefCounted                < Object,📑,⭐,1,❓,,サポートされているエクスポートプラットフォームを識別し、内部的にそのプラットフォームへのエクスポートの機能を提供します。,,Identifies a supported export platform、 and internally provides the functionality of exporting to that platform.,サポートされているエクスポートプラットフォームを識別し、そのプラットフォームへのエクスポートの機能を内部的に提供します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorExportPlugin,RefCounted                < Object,📑,⭐,1,❓,,プロジェクトのエクスポート時に実行されるスクリプト。,,A script that is executed when exporting the project.,プロジェクトのエクスポート時に実行されるスクリプト。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorFeatureProfile,RefCounted                < Object,📑,⭐,1,❓,,特定の機能を無効にするために使用できるエディター機能プロファイル。,,An editor feature profile which can be used to disable specific features.,特定の機能を無効にするために使用できるエディター機能プロファイル。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,EditorFileDialog,EditorFileDialog,ConfirmationDialog                < AcceptDialog < Window < Viewport < Node < Object,📑,⭐,1,,,編集者が使用する[filedialog]の変更されたバージョン。,,A modified version of [FileDialog] used by the editor.,編集者が使用する[filedialog]の変更されたバージョン。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,Object,EditorFileSystem,Node                < Object,📑,⭐,1,,,編集者が見ているように、リソースファイルシステム。,,Resource filesystem、 as the editor sees it.,リソースファイルシステム編集者が見ているように。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorFileSystemDirectory,Object,📑,⭐,1,,,リソースファイルシステムのディレクトリ。,,A directory for the resource filesystem.,リソースファイルシステムのディレクトリ。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorFileSystemImportFormatSupportQuery,RefCounted                < Object,📑,⭐,1,❓,,インポートフォーマットサポートのクエリと構成に使用されます。,,Used to query and configure import format support.,インポートフォーマットサポートのクエリと構成に使用されます。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorImportPlugin,ResourceImporter                < RefCounted < Object,📑,⭐,1,,,編集者にカスタムリソースインポーターを登録します。クラスを使用してファイルを解析し、新しいリソースタイプとしてインポートします。,,Registers a custom resource importer in the editor. Use the class to parse any file and import it as a new resource type.,編集者にカスタムリソースインポーターを登録します。クラスを使用してファイルを解析し、新しいリソースタイプとしてインポートします。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,Object,EditorInspector,ScrollContainer                < Container < Control < CanvasItem < Node < Object,📑,⭐,1,,インスペクタアドオン,オブジェクトのプロパティの編集に使用されるコントロール。,,A control used to edit properties of an object.,オブジェクトのプロパティの編集に使用されるコントロール。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorInspectorPlugin,RefCounted                < Object,📑,⭐,1,,,検査官にカスタムプロパティエディターを追加するためのプラグイン。,,Plugin for adding custom property editors on the inspector.,検査官にカスタムプロパティエディターを追加するためのプラグイン。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,Object,EditorInterface,Node                < Object,📑,⭐,1,,アドオン作るやつ,Godot編集者のインターフェイス。,,Godot editor's interface.,Godot編集者のインターフェイス。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorNode3DGizmo,Node3DGizmo                < RefCounted < Object,📑,⭐,1,,,node3dオブジェクトを編集するためのGizmo。,,Gizmo for editing Node3D objects.,node3dオブジェクトを編集するためのGizmo。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Resource,,Object,EditorNode3DGizmoPlugin,Resource                < RefCounted < Object,📑,⭐,1,,,編集者は、node3d gizmoタイプを定義するために使用します。,,Used by the editor to define Node3D gizmo types.,編集者は、node3d gizmoタイプを定義するために使用します。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorPaths,Object,📑,⭐,1,,,さまざまなOS固有のデータフォルダーとファイルへのパスを返すエディターのみのシングルトン。,,Editor-only singleton that returns paths to various OS-specific data folders and files.,さまざまなOS固有のデータフォルダーとファイルへのパスを返すエディターのみのシングルトン。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,EditorPlugin,EditorPlugin,Node                < Object,📑,⭐,1,,アドオン作るやつ,エディターが機能を拡張するために使用します。,,Used by the editor to extend its functionality.,エディターが機能を拡張するために使用します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,Object,EditorProperty,Container                < Control < CanvasItem < Node < Object,📑,⭐,1,,,検査官に追加するためのプロパティを編集するカスタムコントロール。,,Custom control to edit properties for adding into the inspector.,検査官に追加するためのプロパティを編集するカスタムコントロール。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorResourceConversionPlugin,RefCounted                < Object,📑,⭐,1,,,エディターリソースピッカーコンテキストメニューで、あるリソース形式から別のリソース形式にカスタムコンバーターを追加するためのプラグイン。たとえば、[StandardMaterial3d]を[Shadermaterial]に変換します。,,Plugin for adding custom converters from one resource format to another in the editor resource picker context menu; for example、 converting a [StandardMaterial3D] to a [ShaderMaterial].,エディターリソースピッカーコンテキストメニューで、あるリソース形式から別のリソース形式にカスタムコンバーターを追加するためのプラグイン。たとえば、[[StandardMaterial3d]を[Shadermaterial]に変換します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,Object,EditorResourcePicker,HBoxContainer                < BoxContainer < Container < Control < CanvasItem < Node,📑,⭐,1,,,[リソース]タイプのプロパティを選択するためのGodotエディターの制御。,,Godot editor's control for selecting [Resource] type properties.,[リソース]タイプのプロパティを選択するためのGodotエディターの制御。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Node,,Object,EditorResourcePreview,Node                < Object,📑,⭐,1,,,リソースまたはファイルのプレビューを生成するヘルパー。,,Helper to generate previews of resources or files.,リソースまたはファイルのプレビューを生成するヘルパー。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorResourcePreviewGenerator,RefCounted                < Object,📑,⭐,1,,,プレビューのカスタムジェネレーター。,,Custom generator of previews.,プレビューのカスタムジェネレーター。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorSceneFormatImporter,RefCounted                < Object,📑,⭐,1,,,サードパーティの3Dファイルからシーンをインポートします。,,Imports scenes from third-parties' 3D files.,サードパーティの3Dファイルからシーンをインポートします。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorSceneFormatImporterBlend,なし,📑,⭐,1,,,Blenderの.blendシーンファイル形式のインポーター。,,Importer for Blender's .blend scene file format.,Blenderの.blendシーンファイル形式のインポーター。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorSceneFormatImporterFBX,なし,📑,⭐,1,,,.fbxシーンファイル形式のインポーター。,,Importer for the .fbx scene file format.,.fbxシーンファイル形式のインポーター。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorSceneFormatImporterGLTF,なし,📑,⭐,1,,, - ,,-, - ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OtherObject,,Object,EditorScenePostImport,RefCounted                < Object,📑,⭐,1,,,インポート後のポストプロセスシーン。,,Post-processes scenes after import.,インポート後のポストプロセスシーン。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
